# t x vx y vy xd vxd yd vyd
1.72000000 24.32447360 14.14213581  9.81352095 -2.73106457 24.32447360 14.14213581  9.89788695 -2.73106457
1.73000000 24.46589496 14.14213581  9.78571980 -2.82916457 24.46589496 14.14213581  9.87057630 -2.82916457
1.74000000 24.60731631 14.14213581  9.75693766 -2.92726457 24.60731631 14.14213581  9.84228466 -2.92726457
1.75000000 24.74873767 14.14213581  9.72717451 -3.02536457 24.74873767 14.14213581  9.81301201 -3.02536457
1.76000000 24.89015903 14.14213581  9.69643036 -3.12346457 24.89015903 14.14213581  9.78275836 -3.12346457
1.77000000 25.03158039 14.14213581  9.66470522 -3.22156457 25.03158039 14.14213581  9.75152372 -3.22156457
1.78000000 25.17300175 14.14213581  9.63199907 -3.31966457 25.17300175 14.14213581  9.71930807 -3.31966457
1.79000000 25.31442311 14.14213581  9.59831193 -3.41776457 25.31442311 14.14213581  9.68611143 -3.41776457
1.80000000 25.45584446 14.14213581  9.56364378 -3.51586457 25.45584446 14.14213581  9.65193378 -3.51586457
1.81000000 25.59726582 14.14213581  9.52799464 -3.61396457 25.59726582 14.14213581  9.61677514 -3.61396457
1.82000000 25.73868718 14.14213581  9.49136449 -3.71206457 25.73868718 14.14213581  9.58063549 -3.71206457
1.83000000 25.88010854 14.14213581  9.45375334 -3.81016457 25.88010854 14.14213581  9.54351484 -3.81016457
1.84000000 26.02152990 14.14213581  9.41516120 -3.90826457 26.02152990 14.14213581  9.50541320 -3.90826457
1.85000000 26.16295125 14.14213581  9.37558805 -4.00636457 26.16295125 14.14213581  9.46633055 -4.00636457
1.86000000 26.30437261 14.14213581  9.33503391 -4.10446457 26.30437261 14.14213581  9.42626691 -4.10446457
1.87000000 26.44579397 14.14213581  9.29349876 -4.20256457 26.44579397 14.14213581  9.38522226 -4.20256457
1.88000000 26.58721533 14.14213581  9.25098262 -4.30066457 26.58721533 14.14213581  9.34319662 -4.30066457
1.89000000 26.72863669 14.14213581  9.20748547 -4.39876457 26.72863669 14.14213581  9.30018997 -4.39876457
1.90000000 26.87005805 14.14213581  9.16300733 -4.49686457 26.87005805 14.14213581  9.25620233 -4.49686457
1.91000000 27.01147940 14.14213581  9.11754818 -4.59496457 27.01147940 14.14213581  9.21123368 -4.59496457
1.92000000 27.15290076 14.14213581  9.07110803 -4.69306457 27.15290076 14.14213581  9.16528403 -4.69306457
1.93000000 27.29432212 14.14213581  9.02368689 -4.79116457 27.29432212 14.14213581  9.11835339 -4.79116457
1.94000000 27.43574348 14.14213581  8.97528474 -4.88926457 27.43574348 14.14213581  9.07044174 -4.88926457
1.95000000 27.57716484 14.14213581  8.92590160 -4.98736457 27.57716484 14.14213581  9.02154910 -4.98736457
1.96000000 27.71858619 14.14213581  8.87553745 -5.08546457 27.71858619 14.14213581  8.97167545 -5.08546457
1.97000000 27.86000755 14.14213581  8.82419231 -5.18356457 27.86000755 14.14213581  8.92082081 -5.18356457
1.98000000 28.00142891 14.14213581  8.77186616 -5.28166457 28.00142891 14.14213581  8.86898516 -5.28166457
1.99000000 28.14285027 14.14213581  8.71855901 -5.37976457 28.14285027 14.14213581  8.81616851 -5.37976457
2.00000000 28.28427163 14.14213581  8.66427087 -5.47786457 28.28427163 14.14213581  8.76237087 -5.47786457
2.01000000 28.42569298 14.14213581  8.60900172 -5.57596457 28.42569298 14.14213581  8.70759222 -5.57596457
2.02000000 28.56711434 14.14213581  8.55275158 -5.67406457 28.56711434 14.14213581  8.65183258 -5.67406457
2.03000000 28.70853570 14.14213581  8.49552043 -5.77216457 28.70853570 14.14213581  8.59509193 -5.77216457
